id,season,pa,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id
11477,2017,695,0.336,0.115,0.1969999999999999,5.2,0.086,0.25,0.6409999999999999,0.424,0.616,0.884,0.7959999999999999,0.1939999999999999,0.5539999999999999,0.252,0.025,0.153,0.3329999999999999,0.293,0.352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,56
14330,2019,112,0.23,0.036,0.384,1.9,0.143,0.407,0.698,0.53,0.589,0.843,0.73,0.286,0.397,0.317,0.05,0.1,0.444,0.254,0.317,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,534
8090,2024,157,0.333,0.096,0.325,1.8,0.11,0.237,0.662,0.422,0.5329999999999999,0.833,0.738,0.267,0.267,0.465,0.15,0.1,0.3979999999999999,0.239,0.284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,103
7888,2015,301,0.251,0.086,0.2689999999999999,3.7,0.104,0.276,0.664,0.457,0.595,0.853,0.77,0.141,0.497,0.362,0.09,0.134,0.411,0.237,0.289,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,752
9957,2017,348,0.281,0.078,0.195,1.9,0.0969999999999999,0.286,0.721,0.474,0.644,0.8740000000000001,0.7959999999999999,0.214,0.407,0.379,0.106,0.138,0.423,0.23,0.347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,679
19709,2019,372,0.41,0.081,0.296,7.1,0.157,0.318,0.726,0.476,0.4629999999999999,0.815,0.6709999999999999,0.2239999999999999,0.466,0.309,0.0579999999999999,0.319,0.419,0.216,0.419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,192
13590,2024,508,0.304,0.124,0.209,4.1,0.079,0.2289999999999999,0.675,0.431,0.667,0.8759999999999999,0.816,0.216,0.451,0.3329999999999999,0.12,0.13,0.359,0.286,0.31,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,373
12147,2018,564,0.265,0.071,0.193,4.4,0.1169999999999999,0.342,0.703,0.5,0.5720000000000001,0.8859999999999999,0.7659999999999999,0.244,0.408,0.347,0.085,0.113,0.39,0.247,0.392,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,218
15491,2019,396,0.275,0.109,0.21,4.9,0.081,0.226,0.6709999999999999,0.429,0.682,0.863,0.8109999999999999,0.205,0.447,0.348,0.12,0.076,0.384,0.2689999999999999,0.284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,73
13176,2015,309,0.359,0.0579999999999999,0.249,4.9,0.0969999999999999,0.319,0.647,0.469,0.643,0.882,0.794,0.267,0.457,0.276,0.121,0.086,0.3939999999999999,0.263,0.268,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,744
8203,2017,695,0.354,0.036,0.134,8.5,0.069,0.366,0.6779999999999999,0.522,0.779,0.916,0.868,0.228,0.5760000000000001,0.196,0.0289999999999999,0.019,0.3,0.332,0.161,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,51
3473,2022,548,0.216,0.106,0.184,3.7,0.098,0.321,0.6559999999999999,0.4589999999999999,0.6509999999999999,0.8809999999999999,0.787,0.175,0.332,0.493,0.106,0.178,0.481,0.2239999999999999,0.325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,42
18345,2023,674,0.289,0.119,0.136,6.4,0.075,0.259,0.731,0.465,0.696,0.904,0.8390000000000001,0.191,0.384,0.425,0.062,0.139,0.449,0.222,0.3879999999999999,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,110
4243,2017,158,0.194,0.089,0.222,0.8,0.1159999999999999,0.287,0.6970000000000001,0.483,0.596,0.833,0.759,0.17,0.509,0.321,0.118,0.118,0.407,0.259,0.278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1028
17766,2019,142,0.268,0.099,0.183,2.2,0.1159999999999999,0.2789999999999999,0.736,0.474,0.615,0.826,0.755,0.141,0.485,0.374,0.162,0.108,0.525,0.168,0.347,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,729
14221,2024,574,0.293,0.118,0.246,3.1,0.121,0.298,0.665,0.4429999999999999,0.539,0.857,0.728,0.16,0.379,0.461,0.14,0.128,0.441,0.233,0.374,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93
