id,RAWBA,BAA,total_pa,seasons
14593,0.2305991416309013,0.23971814618189788,1165,5
14691,0.27544616467276567,0.27781927438593507,1421,4
14712,0.2536154090044388,0.2600367193793025,3154,8
14713,0.23669151670951158,0.27481671760655174,389,2
14735,0.18078463855421686,0.1955719709263616,664,3
14738,0.26174358974358974,0.2592822383212794,507,2
14773,0.20776130198915008,0.2168378995337111,553,3
14811,0.2542225244831338,0.24624392708431436,1838,6
14813,0.24966354166666668,0.2531977720258722,1920,5
14818,0.21242330762639244,0.23140025938959286,1167,5
14854,0.23845951181712516,0.22422451692111803,2581,6
14885,0.2227786561264822,0.22615692978550916,759,4
14894,0.23833803457688812,0.2653070911155248,2198,7
14897,0.24,0.20363609898232252,449,1
14936,0.266,0.2500917692033922,162,1
14942,0.20765040650406505,0.2257022538674328,738,4
14950,0.25859046177138534,0.24947347982395537,1321,5
14968,0.24029421673217297,0.24761075148980172,1781,7
15048,0.222,0.21491430859412833,233,1
15055,0.189,0.1889115036479517,263,1
15082,0.21984588804422944,0.21536359120409818,1447,5
15103,0.282,0.2245211617966228,135,1
15104,0.18528502415458936,0.22197874427304123,207,2
15112,0.24357899382171225,0.24758896774669734,3399,7
15117,0.2406000907852928,0.24049936376616524,2203,5
15124,0.22310344827586207,0.24433617592660548,406,2
15149,0.26198811998812,0.2494082996448603,3367,6
15161,0.2395327102803738,0.2093528148929287,1926,6
15170,0.21423097112860892,0.2363177859706856,762,3
15172,0.27752803161274386,0.2701139469405286,4049,9
15181,0.221,0.2032904205028388,247,1
15191,0.24257389162561577,0.23729013166701182,1624,5
15194,0.2082677752293578,0.22333583164691684,1744,5
15197,0.24124420677361852,0.2355438937129926,561,2
15214,0.23204411764705882,0.23183461488301607,544,2
15223,0.26348207696362674,0.2833573497569329,3794,9
15271,0.22764766839378242,0.2299866939577776,579,4
15274,0.24557227575982207,0.25853978395198596,1349,5
15279,0.264329360780065,0.247629357627824,1846,6
15343,0.237,0.2726673234117434,107,1
15351,0.2745952813067151,0.2503062925847368,551,2
15362,0.2890576131687243,0.27932901958493195,3159,7
15402,0.218,0.2090448230605078,290,1
15429,0.27388068307828783,0.24913239811226248,4509,10
15447,0.2612439024390244,0.22980374348669197,1599,4
15450,0.21673640167364017,0.25416032641520975,239,2
15464,0.23609919867366674,0.21533192632983153,3619,8
15482,0.21476170212765955,0.20106176297121423,705,3
15487,0.26444609375,0.27915604253111026,1280,5
15490,0.16,0.23610402015001972,137,1
15491,0.24581176470588234,0.2509753817704301,3145,7
15518,0.27319741448963103,0.2724831076791756,3713,8
15564,0.2314848484848485,0.22280759299927413,792,3
15585,0.23115275310834815,0.20347543171887683,563,3
15608,0.2515428571428571,0.27418339033563327,420,2
15640,0.2906762062440871,0.25454447428676336,4228,8
15653,0.24633848190644306,0.2476228663983899,2266,8
15654,0.21470526315789473,0.22554744192065682,855,4
15670,0.233,0.235691512205711,230,1
15672,0.2589724880382775,0.24432736869557253,1672,5
15674,0.2583604166666667,0.23933639939338533,960,5
15676,0.2792138263665595,0.25712475669134455,5598,10
15679,0.2313543906810036,0.2321445234683538,2232,6
15694,0.20035387673956262,0.2114899584718031,503,3
15711,0.24615267899478424,0.2233160669075196,2109,7
15722,0.20800000000000002,0.2225989834034689,227,1
15730,0.225341211225997,0.24577160612197443,677,5
15767,0.18232067510548522,0.20480791606464122,237,2
15794,0.28172985781990517,0.28109289600414566,844,3
15878,0.2809967400162999,0.2562731250516452,1227,4
15905,0.22340836408364084,0.2383080324998756,813,4
15937,0.2622979591836735,0.25403729943041303,2450,7
15941,0.24828929765886287,0.24405468062937757,1196,5
15958,0.225,0.227899155263482,186,1
15982,0.173,0.1859322633411113,164,1
15983,0.23727415143603134,0.21971673909377976,766,4
15986,0.2478157894736842,0.23318873598145254,3610,7
15998,0.25932546251217137,0.25073626919542585,4108,8
16041,0.22500000000000003,0.2119054110455952,361,1
16153,0.2515058892815077,0.25860700658035524,1698,8
16192,0.19845945945945948,0.23257950233463653,333,2
16219,0.2582921890067502,0.2501525322447412,2074,7
16221,0.218748627881449,0.2259758525625429,911,4
16246,0.164,0.1753972509667551,141,1
16252,0.2966292910826731,0.26982622184780247,4923,9
16263,0.21500000000000002,0.2281238948197131,157,1
16271,0.234,0.21958436935733783,147,1
16313,0.2728058823529412,0.2804085086245468,510,2
16337,0.25135010706638117,0.26751284175866696,934,3
16357,0.2484385964912281,0.2379631975884166,342,2
16375,0.24701179245283023,0.26288612341139184,848,3
16376,0.25073895378364647,0.2431903251633311,3938,9
16403,0.250365306122449,0.23399689145276362,980,4
16411,0.293,0.2636397395437631,108,1
16417,0.21201461377870565,0.2297710525289362,479,2
16424,0.21651201011378005,0.21825708659472456,791,4
16426,0.25442108585858586,0.24810067629762259,1584,4
16429,0.208,0.2129534427199603,154,1
16434,0.254,0.26016555524318136,822,4
16442,0.2436642524573202,0.24465561233428576,1933,7
16451,0.24813283208020054,0.26830418843195286,798,4
16472,0.23785916322922804,0.22057358166484697,3394,7
16478,0.2299205155746509,0.21486747796403818,4655,9
16505,0.24125242030696578,0.21124221503625198,4235,8
16512,0.2620666437650292,0.27067268811352707,2911,7
16530,0.26048795180722895,0.26852036432864407,1660,6
16535,0.21854070851460536,0.22240632748797765,1609,6
16542,0.21589928057553956,0.22799071945611102,417,3
16556,0.27000630914826496,0.27043287007090644,3804,8
16572,0.2443888888888889,0.2384123309796022,1566,4
16578,0.28856217783505156,0.27012272609918236,3104,8
16622,0.23223453152622275,0.23064482945801126,1697,6
16623,0.23250367107195302,0.25557243974019206,681,3
16686,0.265,0.2426783877748593,111,1
16725,0.23484361792054104,0.24735709131040076,1183,5
16852,0.233,0.2454656835971818,143,1
16885,0.24655813953488373,0.2266632012604189,387,2
16909,0.26414864048338366,0.25643725169765963,1655,5
16925,0.213,0.2219006798662595,115,1
16930,0.22888708743485814,0.23863314936497637,1727,4
16939,0.24827893175074184,0.22213554531293844,2022,4
16947,0.24938509316770183,0.2509676456364936,322,2
16997,0.26489654233596516,0.2550102131857413,3673,7
17016,0.253,0.250483619589679,289,1
17022,0.25430642201834863,0.25904923548946274,1090,4
17023,0.21362204724409448,0.25259785690533626,381,2
17027,0.2728585858585858,0.26749716112660626,3069,6
17040,0.20746927374301677,0.22206121921207175,358,3
17062,0.2078,0.21866641556717212,340,2
17098,0.224,0.24719229446615162,203,1
17109,0.211,0.2159105799167646,148,1
17128,0.24684657883552913,0.2395526555138371,2353,7
17161,0.197,0.20702968293920626,172,1
17171,0.26759110350727117,0.26224313815543254,1169,3
17182,0.25405479452054797,0.24471122155023103,1022,3
17232,0.25375203119922,0.23682132657951313,3077,7
17273,0.2253830769230769,0.24243302647690362,1300,4
17276,0.12940196078431374,0.16509530086677923,306,2
17278,0.208,0.2176647725249196,279,1
17321,0.2374587155963303,0.2209967226420201,1090,4
17326,0.21712068965517245,0.2347692514022097,406,3
17338,0.24793539325842698,0.25605952251637604,2136,6
17350,0.27922657176749704,0.2597698813560962,4215,8
17423,0.271,0.246073757148641,262,1
17452,0.20563676341248902,0.2116118972889648,1137,3
17468,0.23199999999999998,0.23545666233641152,295,1
17484,0.26882314205079966,0.248165581542533,2126,6
17548,0.25387794533459,0.24287248629475058,2122,6
17620,0.24592021276595746,0.2608871163379423,1880,4
17642,0.22940529247910865,0.2493824761840237,718,3
17678,0.2725442880794702,0.2553926388700425,4832,9
17684,0.22,0.2589046919523952,253,1
17696,0.264043661971831,0.27651333238571124,2130,6
17710,0.2673306772908367,0.2618767903620274,502,2
17714,0.23300000000000004,0.2423939469308945,416,1
17719,0.2477301369863014,0.24359348130432684,730,3
17723,0.198,0.2152360823663085,116,1
17736,0.2148478260869565,0.23540817567519673,414,2
17750,0.288,0.2672760943730403,134,1
17766,0.21005467928496319,0.207419575171102,951,5
17838,0.24515322580645163,0.24571279701408164,1240,6
17893,0.20097731239092495,0.23143227267679845,573,3
17901,0.2721015514809591,0.2670628610285172,4254,8
17907,0.2697481181239143,0.25976404014111737,1727,4
17919,0.24790200739566823,0.24184261594201267,3786,8
17922,0.18458995815899581,0.21855013509393198,478,2
17929,0.2566843100189036,0.23536494357724827,2645,6
17932,0.229,0.22895419064946126,213,1
17954,0.2108056338028169,0.21970411508412097,710,4
17975,0.23294223826714802,0.2431487250117303,1108,3
17982,0.26351933309684283,0.2567767024306419,2819,6
17988,0.2670686456400742,0.24864274815060153,1617,4
17992,0.2782213154104657,0.2832814841781922,2083,5
18015,0.22818165249088698,0.22366378295375516,3292,8
18027,0.195,0.21957597019941863,150,1
18030,0.24152670199755402,0.23201143631456075,2453,7
18036,0.24726288468668894,0.25248273242763375,2697,5
18042,0.20654556283502082,0.20378344321041322,1679,6
18054,0.2549514563106796,0.26221454160201774,309,2
18063,0.23260223048327142,0.21473824760225296,269,2
18067,0.2220623556581986,0.21258808334890547,433,3
18126,0.24837242268041237,0.24107830162918628,1552,4
18136,0.139,0.2241159988805644,133,1
18171,0.22540487804878048,0.22279334617154836,1640,4
18288,0.22343086816720256,0.2510871271432471,311,2
18289,0.2510807581376185,0.24954038827329222,2427,6
18314,0.25152035513209187,0.24952146581561782,4618,9
18345,0.27873479520066197,0.2707278343029998,2417,5
18353,0.1977076411960133,0.22232511812586608,301,2
18360,0.27189677843524,0.24526340926565365,3042,6
18363,0.24624513230154768,0.2472632992670047,2003,6
18365,0.18425827814569537,0.19160613584606856,302,2
18373,0.26496410034602075,0.25264788103443636,2312,5
18400,0.26728298279158696,0.23286577254895333,523,2
18401,0.28895021511985247,0.2656581361683993,3254,7
18433,0.229,0.2329265090873298,229,1
18497,0.191,0.2021513574128464,244,1
18564,0.2129222222222222,0.2174620561951285,2250,6
18568,0.32256298110566833,0.30559355687684703,2858,6
18577,0.25197389451251995,0.25756136573056726,1877,4
18607,0.24212114014251784,0.22464978758455184,1263,4
18718,0.2729931623931624,0.2631853437128307,585,2
18721,0.23527002762430937,0.24584586591633223,1448,5
18722,0.253,0.2465570781093343,317,1
18795,0.2600431154381085,0.24382850795588448,1438,4
18819,0.25624537487828625,0.24523294863608514,1027,4
18821,0.24866037735849056,0.2753939898031178,318,2
18839,0.262140770252324,0.259229287507756,2259,6
18882,0.24503768947152804,0.2454741364612872,2441,7
18887,0.21391434262948208,0.21283262391333618,502,3
18889,0.23223583180987203,0.23930858539152186,547,4
18900,0.239649454962708,0.2496270997232673,1743,5
19151,0.173,0.2167599178033283,111,1
19181,0.19097959183673469,0.21231888042387562,441,3
19197,0.2582569721115538,0.2503160697717842,2510,6
19198,0.28121546505228395,0.2670889207066282,3634,8
19238,0.2789910269192423,0.2603575964999412,3009,7
19251,0.24882284446908792,0.23053008143247994,3607,6
19252,0.22518338727076592,0.22805443613867388,1854,6
19254,0.267,0.2993694421469517,123,1
19260,0.2533100470957614,0.2596305947366067,1274,4
19262,0.23908343057176198,0.2350367130952676,1714,6
19273,0.269,0.2502057850873507,271,1
19287,0.24055102040816326,0.2316082088889478,2548,4
19290,0.2521203449627597,0.2306428700705163,2551,4
19293,0.23421028938906752,0.2504579932033709,1555,5
19294,0.2567246871444824,0.2491921057831446,879,3
19296,0.23075549048316252,0.22905541937448548,683,3
19318,0.2104200913242009,0.22781722837877058,657,3
19326,0.2765499103407053,0.26994249665020975,3346,6
19331,0.208,0.2203463549994065,184,1
19334,0.2708766233766234,0.27582422046030663,616,2
19339,0.24778303495311166,0.2813288336282588,2346,6
19346,0.18498516320474778,0.2022954151367745,337,2
19348,0.197,0.1945169089136968,240,1
19352,0.23305888538380654,0.23238677340846278,1902,5
19354,0.24582926829268292,0.22102769537429076,861,2
19363,0.2608833494675702,0.23898135230584724,2066,5
19392,0.21943999999999997,0.24502178156191992,1200,4
19422,0.203,0.2408601151977512,205,1
19432,0.217,0.2726989251099572,166,1
19452,0.20209717868338556,0.20436493960393656,957,4
19455,0.2431531728665208,0.24566920914255252,457,2
19458,0.176,0.2066029550338571,201,1
19470,0.263011249030256,0.26903848986083584,2578,6
19508,0.25595372750642675,0.2470974268498126,389,2
19514,0.2131655076495132,0.2268945353809502,719,3
19521,0.20900000000000002,0.19734580700449827,104,1
19522,0.25464069264069267,0.2443699209067294,1155,3
19533,0.245,0.2197844954782563,108,1
19556,0.29850206844678456,0.26010777935375456,2659,5
19562,0.1774736842105263,0.1909811675829415,437,2
19566,0.2725457194899818,0.2528225803325638,2745,5
19599,0.25020882150241214,0.24167494534113518,1451,4
19600,0.25252030735455544,0.2506805638382035,1822,4
19608,0.27,0.2813376024416918,434,1
19610,0.24720810810810812,0.25868948268169584,1480,3
19611,0.2879025423728814,0.2717110729594157,3540,6
19612,0.2896831831831832,0.27596927510576913,2664,6
19627,0.26024464153732446,0.2278564497772426,1353,3
19635,0.214,0.2559617185616192,293,1
19683,0.23602760084925692,0.21121380937233158,471,3
19698,0.25396173733195454,0.24980436088436264,967,5
19709,0.27898932384341635,0.2618009899329701,2248,5
19717,0.25,0.2132482306553601,142,1
19734,0.24929466470876163,0.25119458305901105,2043,5
19755,0.2815496946141033,0.26568273702051926,3602,7
19779,0.258,0.24444699215122911,270,2
19788,0.252,0.2107831141561794,160,1
19806,0.2330734463276836,0.23145294886220677,354,2
19813,0.263,0.2076157982877782,169,1
19818,0.239,0.2551232299990331,264,1
19844,0.22191109074243814,0.23653495820923545,1091,3
19858,0.2522619775739042,0.2586257633329852,1962,6
19859,0.252,0.21381676916534406,105,1
19864,0.2241101243339254,0.2164717065237463,563,4
19878,0.266,0.2707099045578927,242,1
19890,0.2429936440677966,0.2524250348785556,944,3
19892,0.2417044701986755,0.23665804754955794,1208,4
19896,0.259623595505618,0.23225972062172928,890,2
19901,0.23021269177126918,0.22196323170192797,1434,4
19906,0.206,0.221951197667108,283,1
19913,0.2435962165688193,0.24699555083493047,1533,4
19918,0.22487334593572778,0.22079131981949615,2116,5
19921,0.23358139534883718,0.2183823821605519,602,2
19928,0.22071062992125984,0.22828408153116492,508,3
19931,0.23998360655737705,0.2197499272771797,244,2
19948,0.1800451467268623,0.21873916498978982,443,2
19950,0.26073417132216015,0.26162747149137927,2148,5
19953,0.2608812154696133,0.2442534994751892,1086,3
19955,0.25723300970873786,0.2566211058052692,1339,3
19956,0.2356647127784291,0.21613462263356306,853,3
19958,0.20535579514824798,0.24639413208848757,371,2
19960,0.17427796610169494,0.18590479933304146,295,2
19966,0.22905086848635237,0.21754229730115668,806,2
19977,0.264,0.267810331647299,107,1
19997,0.2653986975397974,0.2654879758481817,1382,4
20003,0.23728287606433301,0.23188099537316847,1057,4
20017,0.2214627450980392,0.26993397812069886,255,2
20036,0.23349382716049383,0.2231360827628722,1701,4
20043,0.26702829218107,0.24798683011585798,1944,5
20054,0.177,0.231948961814277,123,1
20056,0.24584943181818183,0.2447327568747111,352,2
20078,0.16512418300653595,0.17026393596379413,306,2
20123,0.2848131115459882,0.2681985085082122,4088,7
20126,0.23760137457044672,0.24612357578295263,1746,5
20157,0.258,0.2288531369348187,139,1
20178,0.17528650646950092,0.21983965986171974,541,2
20202,0.25659257040143796,0.2355099684792463,1669,4
20220,0.21119940476190477,0.21042352658873315,1008,4
20233,0.238,0.2619151740218853,347,1
20242,0.18245791245791246,0.19435251570990894,297,2
20287,0.228,0.2246889623916342,328,1
20308,0.22808326253186068,0.23093308522997186,1177,4
20311,0.233556640625,0.23696456428081886,512,2
20321,0.22642976588628763,0.22630462648509306,598,3
20325,0.24761199095022626,0.25112752218079337,884,4
20332,0.254,0.2430382373497018,350,1
20352,0.23892015706806286,0.26398602567292234,764,3
20391,0.27011900733220534,0.2757485869609181,1773,5
20437,0.2652056737588653,0.2263303222863487,564,2
20454,0.25209817351598174,0.23697605137749242,1752,4
20493,0.189,0.2514597009602335,126,1
20503,0.2764349000540248,0.2518741329851116,1851,4
20505,0.23093273542600895,0.22896772132479112,446,2
20521,0.2798215130023641,0.2914887295414923,846,4
20529,0.2681650485436893,0.236194176842711,721,2
20536,0.20027727272727272,0.23542636237340134,440,2
20538,0.2663082706766917,0.2514789148190639,1064,3
20543,0.2277956698240866,0.2171124319722919,739,3
20572,0.19932911392405064,0.20888467549364625,395,3
20599,0.301,0.2826363951970306,259,1
20926,0.207,0.1651534395318878,125,1
20970,0.26973665480427045,0.26266197896095494,562,2
21127,0.262,0.2872006061442934,156,1
21270,0.18700000000000003,0.2147370877839851,108,1
21386,0.143,0.2016580621492794,103,1
21454,0.2457251631617114,0.24844864173371256,1379,4
21479,0.2774444444444445,0.27936569002342926,2142,5
21501,0.2355526075022873,0.2282638917822596,1093,4
21523,0.25319120287253144,0.24537841359612012,2228,4
21524,0.23853508771929827,0.2038399736315875,684,3
21534,0.21839375,0.2077970153749473,1760,4
21538,0.21952895322939867,0.2254975249195733,898,3
21558,0.25575722145804675,0.24909003628608786,1454,3
21560,0.2332,0.23841607490193986,410,2
21562,0.25660923076923076,0.241755902462097,325,2
21614,0.22746509341199606,0.2354904546054116,1017,3
21618,0.2771423312883436,0.27278733160807145,2445,5
21622,0.2731033591731266,0.27379698886299086,1161,3
21635,0.1986438679245283,0.22926512263846666,424,2
21636,0.26102931596091206,0.2621174389996267,1842,3
21693,0.22658959537572257,0.24462678860660828,519,2
21707,0.23263482466747276,0.23673439251656725,827,3
21711,0.24922291666666666,0.22582137393531593,960,2
21716,0.2348279569892473,0.21306489237968285,372,2
21780,0.254,0.2597982140769247,497,1
21797,0.215,0.2235951265675486,132,1
21837,0.23232520325203251,0.21750949710602815,246,2
21840,0.27489718076285247,0.2525193951262707,603,2
21853,0.22737935843793586,0.21639843958893296,717,2
